Filename,Type,Normalized,Width,Height
Art galleries_000017.png,png,yes,800,600
Art galleries_000018.png,png,yes,800,600
Art galleries_000019.png,png,yes,800,600
Art galleries_000020.png,png,yes,800,600
Art galleries_000021.png,png,yes,800,600
Art galleries_000022.png,png,yes,800,600
Art galleries_000023.png,png,yes,800,600
Art galleries_000024.png,png,yes,800,600
Art galleries_000026.png,png,yes,800,600
Art galleries_000027.png,png,yes,800,600
Art galleries_000028.png,png,yes,800,600
Art galleries_000029.png,png,yes,800,600
Art galleries_000030.png,png,yes,800,600
Art galleries_000032.png,png,yes,800,600
Art galleries_000035.png,png,yes,800,600
Art galleries_000036.png,png,yes,800,600
Art galleries_000037.png,png,yes,800,600
Art supplies_000001.png,png,yes,800,600
Art supplies_000002.png,png,yes,800,600
Art supplies_000003.png,png,yes,800,600
Art supplies_000005.png,png,yes,800,600
Art supplies_000007.png,png,yes,800,600
Art supplies_000008.png,png,yes,800,600
Art supplies_000010.png,png,yes,800,600
Art supplies_000011.png,png,yes,800,600
Art supplies_000013.png,png,yes,800,600
Art supplies_000014.png,png,yes,800,600
Art supplies_000015.png,png,yes,800,600
Art supplies_000017.png,png,yes,800,600
Art supplies_000018.png,png,yes,800,600
Art supplies_000019.png,png,yes,800,600
Art supplies_000020.png,png,yes,800,600
Art supplies_000021.png,png,yes,800,600
Art supplies_000022.png,png,yes,800,600
Art supplies_000023.png,png,yes,800,600
Art supplies_000025.png,png,yes,800,600
Art supplies_000027.png,png,yes,800,600
Art supplies_000028.png,png,yes,800,600
Art supplies_000030.png,png,yes,800,600
Art supplies_000031.png,png,yes,800,600
Art supplies_000033.png,png,yes,800,600
Art supplies_000034.png,png,yes,800,600
Art supplies_000035.png,png,yes,800,600
Art supplies_000036.png,png,yes,800,600
Art supplies_000038.png,png,yes,800,600
Art supplies_000040.png,png,yes,800,600
Art supplies_000041.png,png,yes,800,600
Art supplies_000042.png,png,yes,800,600
Art supplies_000043.png,png,yes,800,600
Art supplies_000044.png,png,yes,800,600
Artisan crafts_000001.png,png,yes,800,600
Artisan crafts_000004.png,png,yes,800,600
Artisan crafts_000005.png,png,yes,800,600
Artisan crafts_000006.png,png,yes,800,600
